asset_id,snapshot_date,material,diameter_mm,install_year,age_years,prior_break_count,break_within_horizon,horizon_years,street,snapshot_origin
15330,1988-02-25,CI,300.0,1963.0,25.0,0,0,5,FRANKLIN ST N,negative_T_minus_H_minus_5y
76519,1988-03-01,CI,150.0,1968.0,20.0,0,0,5,HALIFAX DR,negative_T_minus_H_minus_4y
29110,1988-03-02,CI,100.0,1955.0,33.0,0,0,5,ORCHARD PARK CRES,negative_T_minus_H_minus_5y
7970,1988-03-08,CI,150.0,1966.0,22.0,0,0,5,CONWAY DR,negative_T_minus_H_minus_4y
20260,1988-03-10,CI,150.0,1967.0,21.0,0,0,5,INDIAN RD,negative_T_minus_H_minus_5y
23480,1988-03-10,CI,150.0,1948.0,40.0,0,0,5,LANG CRES,negative_T_minus_H_minus_4y
34220,1988-03-17,CI,150.0,1963.0,25.0,0,0,5,SECORD AVE,negative_T_minus_H_minus_5y
8940,1988-03-19,CI,150.0,1964.0,24.0,0,0,5,DANIEL AVE,negative_T_minus_H_minus_5y
20090,1988-03-20,CI,150.0,1966.0,22.0,0,0,5,HUNTLEY CRES,negative_T_minus_H_minus_5y
76519,1988-03-20,CI,150.0,1968.0,20.0,0,0,5,HALIFAX DR,negative_T_minus_H_minus_4y
17800,1988-03-24,CI,150.0,1966.0,22.0,0,0,5,HALIFAX DR,negative_T_minus_H_minus_5y
6940,1988-03-26,CI,150.0,1960.0,28.0,0,0,5,CHARLOTTE CRES,negative_T_minus_H_minus_5y
7160,1988-03-27,DI,150.0,1968.0,20.0,0,0,5,CHOPIN DR,negative_T_minus_H_minus_4y
32160,1988-03-28,CI,150.0,1963.0,25.0,0,0,5,RENNIE DR,negative_T_minus_H_minus_4y
5610,1988-03-28,DI,200.0,1966.0,22.0,0,0,5,CARSON DR,negative_T_minus_H_minus_5y
5610,1988-03-31,DI,200.0,1966.0,22.0,0,0,5,CARSON DR,negative_T_minus_H_minus_5y
18210,1988-04-09,CI,200.0,1967.0,21.0,0,0,5,HAYWARD AVE,negative_T_minus_H_minus_4y
76747,1988-04-09,CI,150.0,1940.0,48.0,0,0,5,STIRLING AVE S,negative_T_minus_H_minus_4y
14950,1988-04-15,CI,150.0,1958.0,30.0,0,0,5,FOREST HILL DR,negative_T_minus_H_minus_4y
82752,1988-04-15,CI,300.0,1964.0,24.0,0,0,5,GAGE AVE,negative_T_minus_H_minus_4y
8860,1988-04-18,DI,150.0,1969.0,19.0,0,0,5,DALEGROVE DR,negative_T_minus_H_minus_4y
42160,1988-05-05,DI,300.0,1973.0,15.0,0,0,5,WESTHEIGHTS DR,negative_T_minus_H_minus_5y
4430,1988-05-05,DI,150.0,1952.0,36.0,0,0,5,BRICK ST,negative_T_minus_H_minus_4y
18310,1988-05-10,DI,300.0,1969.0,19.0,0,0,5,HAZELGLEN DR,negative_T_minus_H_minus_5y
76729,1988-05-12,DI,150.0,1967.0,21.0,0,0,5,HAYWARD AVE,negative_T_minus_H_minus_5y
84006,1988-05-12,DI,150.0,1967.0,21.0,0,0,5,HAYWARD AVE,negative_T_minus_H_minus_5y
7150,1988-06-09,DI,150.0,1968.0,20.0,0,0,5,CHOPIN DR,negative_T_minus_H_minus_4y
86012,1988-06-10,DI,150.0,1970.0,18.0,0,0,5,GLEN PARK CRES,negative_T_minus_H_minus_4y
34900,1988-06-17,CI,150.0,1960.0,28.0,0,0,5,SHIRLEY AVE,negative_T_minus_H_minus_4y
24390,1988-06-26,CI,150.0,1948.0,40.0,0,0,5,LANG CRES,negative_T_minus_H_minus_4y
82752,1988-06-27,CI,300.0,1964.0,24.0,0,0,5,GAGE AVE,negative_T_minus_H_minus_4y
2500,1988-06-28,DI,300.0,1970.0,18.0,0,0,5,CHARLES ST E,negative_T_minus_H_minus_4y
21040,1988-06-29,CI,150.0,1958.0,30.0,0,0,5,KENNETH AVE,negative_T_minus_H_minus_5y
31100,1988-07-02,CI,150.0,1964.0,24.0,0,0,5,PRINCE ST,negative_T_minus_H_minus_4y
23370,1988-07-07,CI,150.0,1923.0,65.0,0,0,5,LANCASTER ST W,negative_T_minus_H_minus_5y
33050,1988-07-07,CI,300.0,1935.0,53.0,0,0,5,ROCKWAY DR,negative_T_minus_H_minus_5y
20670,1988-07-11,CI,200.0,1965.0,23.0,0,0,5,JOSEPH ST,negative_T_minus_H_minus_4y
4104575,1988-08-11,XXX,25.0,1974.0,14.0,0,0,5,WESTHEIGHTS DR,negative_T_minus_H_minus_5y
90576,1988-08-11,DI,150.0,1970.0,18.0,0,0,5,GLEN AVON CRES,negative_T_minus_H_minus_5y
90576,1988-08-13,DI,150.0,1970.0,18.0,0,0,5,GLEN AVON CRES,negative_T_minus_H_minus_5y
20330,1988-08-23,DI,150.0,1969.0,19.0,0,0,5,INGLESIDE DR,negative_T_minus_H_minus_5y
8860,1988-08-26,DI,150.0,1969.0,19.0,0,0,5,DALEGROVE DR,negative_T_minus_H_minus_5y
26210,1988-09-04,DI,150.0,1969.0,19.0,0,0,5,MEADOWBROOK DR,negative_T_minus_H_minus_5y
32170,1988-09-05,CI,150.0,1963.0,25.0,0,0,5,RENNIE DR,negative_T_minus_H_minus_4y
20330,1988-09-07,DI,150.0,1969.0,19.0,0,0,5,INGLESIDE DR,negative_T_minus_H_minus_5y
8860,1988-09-07,DI,150.0,1969.0,19.0,0,0,5,DALEGROVE DR,negative_T_minus_H_minus_4y
30530,1988-09-10,DI,150.0,1971.0,17.0,0,0,5,PEPPERWOOD CRES,negative_T_minus_H_minus_5y
8430,1988-09-11,DI,300.0,1970.0,18.0,0,0,5,COURTLAND AVE E,negative_T_minus_H_minus_4y
33660,1988-09-18,DI,200.0,1973.0,15.0,0,0,5,ROYAL ORCHARD DR,negative_T_minus_H_minus_5y
33760,1988-10-18,CI,150.0,1963.0,25.0,0,0,5,RUSKVIEW RD,negative_T_minus_H_minus_4y
17170,1988-10-19,CI,200.0,1964.0,24.0,0,0,5,GREENBROOK DR,negative_T_minus_H_minus_4y
35270,1988-10-19,CI,150.0,1958.0,30.0,0,0,5,SOUTHMOOR DR,negative_T_minus_H_minus_5y
5040,1988-10-21,CI,150.0,1958.0,30.0,0,0,5,BURBANK RD,negative_T_minus_H_minus_4y
61670,1988-10-23,PVC,150.0,1970.0,18.0,0,0,5,INGLESIDE DR,negative_T_minus_H_minus_5y
35030,1988-10-25,CI,150.0,1967.0,21.0,0,0,5,SILVERSPRING CRES,negative_T_minus_H_minus_5y
5510,1988-10-25,CI,150.0,1967.0,21.0,0,0,5,CARNABY CRES,negative_T_minus_H_minus_5y
93272,1988-10-27,DI,200.0,1959.0,29.0,0,0,5,HANSON AVE,negative_T_minus_H_minus_5y
31170,1988-10-31,CI,150.0,1954.0,34.0,0,0,5,PROSPECT AVE,negative_T_minus_H_minus_4y
93516,1988-11-01,CI,150.0,1974.0,14.0,0,0,5,UPLANDS DR,negative_T_minus_H_minus_5y
42050,1988-11-04,CI,150.0,1959.0,29.0,0,0,5,WESTGATE WALK,negative_T_minus_H_minus_4y
17230,1988-11-05,CI,200.0,1957.0,31.0,0,0,5,GREENBROOK DR,negative_T_minus_H_minus_5y
24240,1988-11-05,CI,150.0,1965.0,23.0,0,0,5,LORRAINE AVE,negative_T_minus_H_minus_4y
20440,1988-11-06,CI,150.0,1966.0,22.0,0,0,5,INWOOD DR,negative_T_minus_H_minus_4y
3770,1988-11-08,CI,150.0,1967.0,21.0,0,0,5,BONNYLYN DR,negative_T_minus_H_minus_5y
41690,1988-11-11,CI,300.0,1929.0,59.0,0,0,5,WELLINGTON ST N,negative_T_minus_H_minus_5y
37530,1988-11-12,CI,150.0,1951.0,37.0,0,0,5,TAMROTH CLOSE,negative_T_minus_H_minus_5y
35030,1988-11-13,CI,150.0,1967.0,21.0,0,0,5,SILVERSPRING CRES,negative_T_minus_H_minus_5y
43570,1988-11-14,CI,200.0,1954.0,34.0,0,0,5,WILSON AVE,negative_T_minus_H_minus_4y
20470,1988-11-16,CI,150.0,1955.0,33.0,0,0,5,ISLINGTON AVE,negative_T_minus_H_minus_4y
36520,1988-11-16,CI,150.0,1962.0,26.0,0,0,5,STONYBROOK DR,negative_T_minus_H_minus_5y
19620,1988-11-17,CI,150.0,1936.0,52.0,0,0,5,HOFFMAN ST,negative_T_minus_H_minus_4y
3640,1988-11-17,CI,150.0,1956.0,32.0,0,0,5,BLUERIDGE AVE,negative_T_minus_H_minus_4y
32160,1988-11-18,CI,150.0,1963.0,25.0,0,0,5,RENNIE DR,negative_T_minus_H_minus_5y
270,1988-11-20,CI,150.0,1958.0,30.0,0,0,5,ABERDEEN RD,negative_T_minus_H_minus_5y
33750,1988-11-20,CI,150.0,1963.0,25.0,0,0,5,RUSKVIEW RD,negative_T_minus_H_minus_5y
14780,1988-11-23,DI,200.0,1964.0,24.0,0,0,5,FOREST HILL DR,negative_T_minus_H_minus_5y
42530,1988-11-23,CI,150.0,1959.0,29.0,0,0,5,WESTMOUNT RD E,negative_T_minus_H_minus_5y
57990,1988-11-25,CI,150.0,1959.0,29.0,0,0,5,EVERGREEN CRES,negative_T_minus_H_minus_5y
29630,1988-11-26,CI,150.0,1923.0,65.0,0,0,5,OTTAWA ST S,negative_T_minus_H_minus_4y
5510,1988-11-26,CI,150.0,1967.0,21.0,0,0,5,CARNABY CRES,negative_T_minus_H_minus_4y
19660,1988-11-27,CI,150.0,1956.0,32.0,0,0,5,HOFFMAN ST,negative_T_minus_H_minus_5y
64130,1988-11-27,CI,150.0,1966.0,22.0,0,0,5,INVERNESS DR,negative_T_minus_H_minus_5y
4000,1988-11-28,CI,150.0,1965.0,23.0,0,0,5,BRADLEY DR,negative_T_minus_H_minus_4y
7300,1988-11-30,CI,150.0,1956.0,32.0,0,0,5,CLAREMONT AVE,negative_T_minus_H_minus_4y
19740,1988-12-04,CI,150.0,1967.0,21.0,0,0,5,HOLBORN DR,negative_T_minus_H_minus_4y
85432,1988-12-04,CI,150.0,1971.0,17.0,0,0,5,BROOKSIDE CRES,negative_T_minus_H_minus_5y
32320,1988-12-09,CI,150.0,1960.0,28.0,0,0,5,RIPPLEWOOD CRES,negative_T_minus_H_minus_4y
33760,1988-12-10,CI,150.0,1963.0,25.0,0,0,5,RUSKVIEW RD,negative_T_minus_H_minus_4y
